long_id,treatment,time,pres,accmag,mean_strain,roi
C340327095313,50rpm_original,60.495,99.8165974934896,-2.447894450626424,75.75581773251382,unlabeled
C340327095313,50rpm_original,60.505,101.17926432291667,0.1860542555439881,4528.243136602463,unlabeled
C340327095313,50rpm_original,60.515,103.51859944661457,5.322077988670916,3677.2860378477562,unlabeled
C340327095313,50rpm_original,60.526,103.90226643880207,9.731353182991509,3755.0161530679184,unlabeled
C340327095313,50rpm_original,60.536,103.63626708984376,6.7618313872101385,2218.8243471448404,unlabeled
C340327095313,50rpm_original,60.546,103.57359619140625,13.357102554903458,4837.998552675923,unlabeled
C340327095313,50rpm_original,60.557,103.40626220703125,-0.02687206950968246,2448.5614162810125,unlabeled
C340327095313,50rpm_original,60.567,103.81659749348958,2.856925252738611,1967.9350872576842,unlabeled
C340327095313,50rpm_original,60.577,103.34326578776043,6.425406067272236,2781.1782205770774,unlabeled
C340327095313,50rpm_original,60.588,102.71293131510416,11.43279440326645,2354.834607989591,unlabeled
C340327095313,50rpm_original,60.598,103.11226806640624,6.063339552649145,2794.8936582474157,unlabeled
C340327095313,50rpm_original,60.608,104.06859944661457,5.721580729810517,1146.6831429283452,unlabeled
C340327095313,50rpm_original,60.618,103.35226236979167,9.130733175180604,1277.558835041991,unlabeled
C340327095313,50rpm_original,60.629,102.98159993489585,1.912026565595978,308.29038966919654,unlabeled
C340327095313,50rpm_original,60.639,102.92092692057292,4.462690877454918,621.4781533183386,unlabeled
C340327095313,50rpm_original,60.65,103.25959879557293,2.4429711622345405,1338.7132229454141,unlabeled
C340327095313,50rpm_original,60.66,103.3692626953125,3.8834145417694934,733.2247863821116,unlabeled
C340327095313,50rpm_original,60.67,103.17626139322915,4.848905583666303,901.8144439310652,unlabeled
C340327095313,50rpm_original,60.68,103.15760091145833,5.249202654502868,1088.3960209875395,unlabeled
C340327095313,50rpm_original,60.691,103.2962646484375,5.5765170702563935,1039.247873282815,unlabeled
C340327095313,50rpm_original,60.701,103.17093098958333,4.460763729591978,922.9666346820552,unlabeled
C340327095313,50rpm_original,60.711,103.46493326822915,10.062797330387722,1236.9776036440721,unlabeled
C340327095313,50rpm_original,60.722,103.87526448567708,8.70229035589396,225.75359257982848,unlabeled
C340327095313,50rpm_original,60.732,103.41993001302085,6.434955847431558,102.28674828199769,unlabeled
C340327095313,50rpm_original,60.742,103.24392903645833,5.959293082411799,61.140435271001756,unlabeled
C340327095313,50rpm_original,60.753,103.28192952473958,4.4294765727679195,278.88521684089073,unlabeled
C340327095313,50rpm_original,60.763,103.26026611328125,3.9814354619556536,400.04290047296365,unlabeled
C340327095313,50rpm_original,60.773,103.170263671875,3.750936507220498,437.75686590827127,unlabeled
C340327095313,50rpm_original,60.784,103.16426595052084,4.0292087234192255,339.4605704988218,unlabeled
C340327095313,50rpm_original,60.794,103.2732666015625,3.8965314875346024,199.43892783288433,unlabeled
C340327095313,50rpm_original,60.804,103.30426432291668,4.338049116787632,122.294823174425,unlabeled
C340327095313,50rpm_original,60.815,103.35426432291668,3.302120701048697,143.44003760920438,unlabeled
C340327095313,50rpm_original,60.831,103.4712646484375,3.3184650700324596,212.01722596086427,unlabeled
C340327095313,50rpm_original,60.841,103.56126708984375,3.2559636931225153,110.28858297572647,unlabeled
C340327095313,50rpm_original,60.852,103.58226318359375,2.792531692353039,140.8518242950166,unlabeled
C340327095313,50rpm_original,60.862,103.71593017578125,2.644416708203263,127.70844455396603,unlabeled
C340327095313,50rpm_original,60.872,103.73526611328126,2.356569221931135,176.84961594247997,unlabeled
C340327095313,50rpm_original,60.883,103.79459635416667,2.4682289947742735,152.27205393201223,unlabeled
C340327095313,50rpm_original,60.893,103.82959798177085,2.397595682052385,121.41580733187067,unlabeled
C340327095313,50rpm_original,60.903,103.84292805989585,2.593184724655778,89.98052648623695,unlabeled
C340327095313,50rpm_original,60.913,103.86459554036458,2.7934358781363926,102.5588246142169,unlabeled
C340327095313,50rpm_original,60.923,103.90293375651042,3.1113814065854637,103.69596415656893,unlabeled
C340327095313,50rpm_original,60.934,103.96759847005208,2.932173984017563,63.12868539106514,unlabeled
C340327095313,50rpm_original,60.944,104.04960123697916,3.0002500060146584,21.968419747647708,unlabeled
C340327095313,50rpm_original,60.954,104.13393147786458,2.876536442169652,18.298877420793886,unlabeled
C340327095313,50rpm_original,60.965,104.22293294270833,3.0149797427666254,7.687900464245086,unlabeled
C340327095313,50rpm_original,60.975,104.24959716796874,2.7798928726795555,4.834587134048861,unlabeled
C340327095313,50rpm_original,60.985,104.27960205078125,2.5168976726690016,22.868364538834296,unlabeled
C340327095313,50rpm_original,60.996,104.28693440755208,2.240195121087607,10.8691006563465,unlabeled
C340327095313,50rpm_original,61.006,104.2779296875,1.831670396968514,12.55736917934769,unlabeled
C340327095313,50rpm_original,61.016,104.22926432291668,1.732174952678747,70.54450952309102,unlabeled
C340327095313,50rpm_original,61.027,104.25726318359375,1.3536684525970948,20.82430388908492,unlabeled
C340327095313,50rpm_original,61.037,104.30659993489584,1.067637127612727,83.70184189656311,unlabeled
C340327095313,50rpm_original,61.047,104.3615966796875,0.8319082025740574,64.83788286269858,unlabeled
C340327095313,50rpm_original,61.057,104.41026204427085,0.8098587510581119,87.69927108532212,unlabeled
C340327095313,50rpm_original,61.068,104.42259928385415,0.7190692385196638,45.973923828834046,unlabeled
C340327095313,50rpm_original,61.078,104.45459798177085,0.7738600761868071,100.8426508263727,unlabeled
C340327095313,50rpm_original,61.088,104.42926839192708,0.7709685108306505,85.98309729747793,unlabeled
