long_id,treatment,time,pres,accmag,mean_strain,roi
C330910134713,50rpm_modified,2.804,100.00502319335938,-7.294965250613661,52.803737399157036,unlabeled
C330910134713,50rpm_modified,2.815,100.71802368164063,13.61314052502184,5429.422735758357,unlabeled
C330910134713,50rpm_modified,2.825,106.81736246744792,4.649187246567454,2725.8769619744785,unlabeled
C330910134713,50rpm_modified,2.835,102.03069458007812,12.828500226508956,3508.616152662379,unlabeled
C330910134713,50rpm_modified,2.846,105.02135823567707,6.3977760262015995,1857.772077973751,unlabeled
C330910134713,50rpm_modified,2.862,104.42869059244792,9.317252493540735,1532.9966530985555,unlabeled
C330910134713,50rpm_modified,2.872,105.71802164713543,6.175296209279784,2530.2610554250846,unlabeled
C330910134713,50rpm_modified,2.883,102.51702677408855,10.255079135657928,6739.355166176314,unlabeled
C330910134713,50rpm_modified,2.893,106.65835774739585,8.5868314766723,2453.277406039472,unlabeled
C330910134713,50rpm_modified,2.903,104.09569295247395,6.894618689818779,4032.9002685325668,unlabeled
C330910134713,50rpm_modified,2.914,104.906689453125,9.600669623394678,494.00690351553817,unlabeled
C330910134713,50rpm_modified,2.924,106.65169270833333,1.251889973845902,598.1214466447519,unlabeled
C330910134713,50rpm_modified,2.934,106.09969482421874,5.662510695226482,2040.0771731930367,unlabeled
C330910134713,50rpm_modified,2.944,103.1346944173177,4.548962696459757,4315.6294356055805,unlabeled
C330910134713,50rpm_modified,2.955,103.80069173177085,7.483785310935977,1224.371400251243,unlabeled
C330910134713,50rpm_modified,2.965,103.97168782552085,4.151021129608292,682.2000096166955,unlabeled
C330910134713,50rpm_modified,2.975,104.05136311848958,4.260042964894108,978.058603798338,unlabeled
C330910134713,50rpm_modified,2.985,104.48335367838543,5.0021708182154025,707.1821979673866,unlabeled
C330910134713,50rpm_modified,2.996,104.29102783203125,5.61285306835893,1369.4857537510268,unlabeled
C330910134713,50rpm_modified,3.006,104.08636474609375,4.111070119239061,2030.7568147354764,unlabeled
C330910134713,50rpm_modified,3.016,104.09002278645832,7.091481707993205,1657.5587790414738,unlabeled
C330910134713,50rpm_modified,3.027,104.98402506510415,6.2106463863024874,449.5956745179118,unlabeled
C330910134713,50rpm_modified,3.037,105.30302734375,6.004284762003058,599.7399520056458,unlabeled
C330910134713,50rpm_modified,3.047,104.96401774088542,5.924122043380205,1150.08060892298,unlabeled
C330910134713,50rpm_modified,3.058,105.12969156901042,4.368328965863782,425.43669148008905,unlabeled
C330910134713,50rpm_modified,3.068,104.96769205729167,4.228472394096352,840.3112402171045,unlabeled
C330910134713,50rpm_modified,3.078,105.15669352213543,4.882623760746537,535.1462402103234,unlabeled
C330910134713,50rpm_modified,3.089,105.03802490234375,3.899843087456592,784.8983605551274,unlabeled
C330910134713,50rpm_modified,3.099,105.1750244140625,3.738069889818645,699.152458008815,unlabeled
C330910134713,50rpm_modified,3.109,105.51802978515624,4.905318425226817,321.99187470710706,unlabeled
C330910134713,50rpm_modified,3.119,105.43468831380207,6.030823360631768,691.1645759475076,unlabeled
C330910134713,50rpm_modified,3.129,105.46502278645832,5.159639478227033,200.41561210238916,unlabeled
C330910134713,50rpm_modified,3.14,105.41269124348958,6.103421913644091,478.5683157411512,unlabeled
C330910134713,50rpm_modified,3.15,105.56335856119793,6.701893040257948,233.00198512279638,unlabeled
C330910134713,50rpm_modified,3.161,105.65235595703125,6.871276916247792,401.98231637955183,unlabeled
C330910134713,50rpm_modified,3.171,105.77836507161457,7.154318736080418,341.98599696711284,unlabeled
C330910134713,50rpm_modified,3.181,105.87369384765626,7.277228891168404,385.9925996245158,unlabeled
C330910134713,50rpm_modified,3.192,105.97435709635415,7.283978172248085,194.52760122051723,unlabeled
C330910134713,50rpm_modified,3.202,105.93501790364584,7.043115474324052,253.39375740681493,unlabeled
C330910134713,50rpm_modified,3.212,105.97002766927085,6.245880393527711,275.7040166487893,unlabeled
C330910134713,50rpm_modified,3.223,105.98369140625,5.730057951255763,188.8209745601248,unlabeled
C330910134713,50rpm_modified,3.233,105.906689453125,5.1527871367103995,214.13104977272116,unlabeled
C330910134713,50rpm_modified,3.243,105.84469401041667,4.543038075935309,244.42221475979204,unlabeled
C330910134713,50rpm_modified,3.254,106.03102620442708,3.942861896185132,262.7210921805859,unlabeled
C330910134713,50rpm_modified,3.264,106.22103271484374,3.2982915587518455,359.3012138021912,unlabeled
C330910134713,50rpm_modified,3.274,106.27469075520833,2.982911908397398,296.84225476735793,unlabeled
C330910134713,50rpm_modified,3.285,106.16903076171874,2.764021072052099,220.82133701882915,unlabeled
C330910134713,50rpm_modified,3.295,106.11902669270833,2.4037793000177956,90.69211073973332,unlabeled
C330910134713,50rpm_modified,3.305,106.09969075520833,2.5217028498686975,60.21956153118292,unlabeled
C330910134713,50rpm_modified,3.315,106.05135498046874,2.6929678763728475,98.51256121198263,unlabeled
C330910134713,50rpm_modified,3.326,106.15735677083333,2.5990528660003687,68.75857257313936,unlabeled
C330910134713,50rpm_modified,3.336,106.26969401041667,2.8654089586317646,35.03506001038006,unlabeled
C330910134713,50rpm_modified,3.347,106.32235107421874,2.914707992414675,108.93517763084122,unlabeled
C330910134713,50rpm_modified,3.357,106.34502360026042,3.095599754819057,91.21533445553948,unlabeled
C330910134713,50rpm_modified,3.367,106.34903157552085,2.945963161833985,74.06057289330838,unlabeled
C330910134713,50rpm_modified,3.377,106.27536214192708,2.8984969536067435,105.51678268757433,unlabeled
C330910134713,50rpm_modified,3.388,106.1846923828125,2.7534945341444423,116.3649543952886,unlabeled
C330910134713,50rpm_modified,3.398,106.19769694010415,2.413203604723831,124.93187070208803,unlabeled
C330910134713,50rpm_modified,3.408,106.24902750651043,2.130598451019305,139.22634261791217,unlabeled
C330910134713,50rpm_modified,3.419,106.27336018880207,1.8258456706837445,136.36605297150518,unlabeled
