long_id,treatment,time,pres,accmag,mean_strain,roi,zeroX,ODBA
U300911094144,50rpm_modified,3.895,103.73446451822915,0.4569664254648842,143.0842454824562,unlabeled,0,3.673699986748398
U300911094144,50rpm_modified,3.905,103.69112955729167,0.31840073744233166,143.64932709552684,unlabeled,0,3.33660010199994
U300911094144,50rpm_modified,3.915,103.65546875,0.3888479786937928,131.07800528375765,unlabeled,0,3.4753000093624
U300911094144,50rpm_modified,3.925,103.64813639322915,0.361779425382684,141.93315330768266,unlabeled,0,3.274599767439068
U300911094144,50rpm_modified,3.936,103.68713785807293,0.45640139082754594,150.49309329827133,unlabeled,0,3.108899847976864
U300911094144,50rpm_modified,3.946,103.693798828125,0.5503379273395286,152.80225396402915,unlabeled,0,2.9170001919195063
U300911094144,50rpm_modified,3.956,103.64646809895832,0.7047564156264965,170.51512082312013,unlabeled,0,3.0376002104207878
U300911094144,50rpm_modified,3.967,103.538134765625,0.6543205541331183,126.51549448192797,unlabeled,0,2.797500282041729
U300911094144,50rpm_modified,3.977,103.44247639973958,0.3992016395012783,119.0717650850591,unlabeled,1,2.271399925015868
U300911094144,50rpm_modified,3.987,103.38846842447916,0.3371477673848773,143.0842454824562,unlabeled,1,1.9902005298063168
U300911094144,50rpm_modified,3.998,103.39013671875,0.3308133105833946,152.21624340232626,unlabeled,1,1.898199975602327
U300911094144,50rpm_modified,4.008,103.40313720703125,0.6041877042943593,138.50778204820503,unlabeled,0,2.101200625784694
U300911094144,50rpm_modified,4.018,103.4294677734375,0.7926078400078183,151.6511617892556,unlabeled,0,2.7976993666961785
U300911094144,50rpm_modified,4.028,103.38446451822915,0.9504325312676976,134.50337654323525,unlabeled,0,3.4035002850368605
U300911094144,50rpm_modified,4.039,103.33246663411458,1.122986304765762,173.94746839880852,unlabeled,0,3.7347993384674214
U300911094144,50rpm_modified,4.049,103.28980712890625,1.1739017427554792,151.06515122755272,unlabeled,0,3.9387997670844217
U300911094144,50rpm_modified,4.06,103.25279947916667,1.2566570575530704,133.93829493016463,unlabeled,0,4.3463002640381445
